DATA_MANAGE_NO,DATA_TITLE_NM,SUMRY_CN,SBJT_NM,MAIN_THUMB_URL,CNTNTS_URL,ERA_NM,CTPRVN_NM,SIGNGU_NM,ADDR,RELATE_RSTRNT_NM,RSTRNT_TEL_NO,RSTRNT_ADDR,REGIST_DE,CORE_KWRD_CN,OPN_DE
332,"천하일미 마로화적(天下一味 馬老火炙), 광양 숯불고기",광양불고기는 손질한 소고기를 굽기 전에 양념장에 버무려서 참숯으로 피운 숯불에 석쇠로 구워낸 전라남도 광양시의 향토음식이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/1755,현대-현대(1945.8.15~현재),전라남도,광양시,전라남도 광양시 광양읍 칠성리,매실한우 광양불고기,0617629178,전남 광양시 광양읍 서천1길 46,20180716,"불고기, 광양시, 숯불고기, 전라남도, 향토음식",20220630
333,"천하일미 마로화적(天下一味 馬老火炙), 광양 숯불고기",광양불고기는 손질한 소고기를 굽기 전에 양념장에 버무려서 참숯으로 피운 숯불에 석쇠로 구워낸 전라남도 광양시의 향토음식이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/1755,현대-현대(1945.8.15~현재),전라남도,광양시,전라남도 광양시 광양읍 칠성리,삼대광양불고기집,0617639250,전남 광양시 광양읍 서천1길 52,20180716,"불고기, 광양시, 숯불고기, 전라남도, 향토음식",20220630
334,"천하일미 마로화적(天下一味 馬老火炙), 광양 숯불고기",광양불고기는 손질한 소고기를 굽기 전에 양념장에 버무려서 참숯으로 피운 숯불에 석쇠로 구워낸 전라남도 광양시의 향토음식이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/1755,현대-현대(1945.8.15~현재),전라남도,광양시,전라남도 광양시 광양읍 칠성리,시내식당,0617630360,전남 광양시 광양읍 서천1길 38,20180716,"불고기, 광양시, 숯불고기, 전라남도, 향토음식",20220630
335,"천하일미 마로화적(天下一味 馬老火炙), 광양 숯불고기",광양불고기는 손질한 소고기를 굽기 전에 양념장에 버무려서 참숯으로 피운 숯불에 석쇠로 구워낸 전라남도 광양시의 향토음식이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/1755,현대-현대(1945.8.15~현재),전라남도,광양시,전라남도 광양시 광양읍 칠성리,장원회관,0617616006,전남 광양시 광양읍 매천로 821-5,20180716,"불고기, 광양시, 숯불고기, 전라남도, 향토음식",20220630
336,눈사람 닮은 조랭이떡국,조랭이떡국은 새해 아침 한해의 안녕을 기원하면서 누에고치 모양으로 떡을 만들어 장국에 넣고 끓인 개성지방의 향토 음식이다.,특별한 날에 먹는 전통음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/180/25792/10685/c/25792-thumb.jpg,https://ncms.nculture.org/food/story/1756,조선-조선 전체,경기도,수원시,경기도 수원시 팔달구 인계동 1116-1,개성만두 궁,027339240,서울 종로구 인사동10길 11-3,20180412,"조랭이떡, 설날, 개성음식, 고려, 이성계, 조롱박, 향토음식",20220630
337,짜장면과 고향이 같은 쫄면,"쫄면은 우리나라 국수 요리 중의 하나로 차갑고 쫄깃한 면에 고추장과 채소 등을 넣어 비벼 먹는 음식이다. 쫄면은 인천에서 처음 시작된 대표적인 서민 음식이다. 전국적으로 청소년들과 직장인 사이에 꾸준히 인기를 끌고 있는 쫄면은 지금처럼 인스턴트식품이 많지 않았던 1970~1980년대에 가장 많이 찾는 음식 중 하나였으며, 지금도 떡볶이 등과 함께 분식의 대표 음식으로 많은 이들의 사랑을 받고 있다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/41/30072/15856/c/최초로-쫄면이-만들어진-광신제면-thumb.jpg,https://ncms.nculture.org/food/story/1757,해당없음,인천광역시,중구,인천광역시 중구 자유공원 남로 25,공릉우동집,029761199,서울 노원구 동일로192길 42,20180325,"쫄면, 인천광역시, 분식, 향토음식",20220630
338,짜장면과 고향이 같은 쫄면,"쫄면은 우리나라 국수 요리 중의 하나로 차갑고 쫄깃한 면에 고추장과 채소 등을 넣어 비벼 먹는 음식이다. 쫄면은 인천에서 처음 시작된 대표적인 서민 음식이다. 전국적으로 청소년들과 직장인 사이에 꾸준히 인기를 끌고 있는 쫄면은 지금처럼 인스턴트식품이 많지 않았던 1970~1980년대에 가장 많이 찾는 음식 중 하나였으며, 지금도 떡볶이 등과 함께 분식의 대표 음식으로 많은 이들의 사랑을 받고 있다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/41/30072/15856/c/최초로-쫄면이-만들어진-광신제면-thumb.jpg,https://ncms.nculture.org/food/story/1757,해당없음,인천광역시,중구,인천광역시 중구 자유공원 남로 25,길면분식,050714123310,서울 중구 다동길 43 한외빌딩 지하8호,20180325,"쫄면, 인천광역시, 분식, 향토음식",20220630
339,짜장면과 고향이 같은 쫄면,"쫄면은 우리나라 국수 요리 중의 하나로 차갑고 쫄깃한 면에 고추장과 채소 등을 넣어 비벼 먹는 음식이다. 쫄면은 인천에서 처음 시작된 대표적인 서민 음식이다. 전국적으로 청소년들과 직장인 사이에 꾸준히 인기를 끌고 있는 쫄면은 지금처럼 인스턴트식품이 많지 않았던 1970~1980년대에 가장 많이 찾는 음식 중 하나였으며, 지금도 떡볶이 등과 함께 분식의 대표 음식으로 많은 이들의 사랑을 받고 있다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/41/30072/15856/c/최초로-쫄면이-만들어진-광신제면-thumb.jpg,https://ncms.nculture.org/food/story/1757,해당없음,인천광역시,중구,인천광역시 중구 자유공원 남로 25,자성당,023241707,서울 마포구 잔다리로7안길 3,20180325,"쫄면, 인천광역시, 분식, 향토음식",20220630
340,짜장면과 고향이 같은 쫄면,"쫄면은 우리나라 국수 요리 중의 하나로 차갑고 쫄깃한 면에 고추장과 채소 등을 넣어 비벼 먹는 음식이다. 쫄면은 인천에서 처음 시작된 대표적인 서민 음식이다. 전국적으로 청소년들과 직장인 사이에 꾸준히 인기를 끌고 있는 쫄면은 지금처럼 인스턴트식품이 많지 않았던 1970~1980년대에 가장 많이 찾는 음식 중 하나였으며, 지금도 떡볶이 등과 함께 분식의 대표 음식으로 많은 이들의 사랑을 받고 있다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/41/30072/15856/c/최초로-쫄면이-만들어진-광신제면-thumb.jpg,https://ncms.nculture.org/food/story/1757,해당없음,인천광역시,중구,인천광역시 중구 자유공원 남로 25,통나무집 떡볶이 쫄면,023848268,서울 은평구 서오릉로 231,20180325,"쫄면, 인천광역시, 분식, 향토음식",20220630
341,"귀한 손님 접대와 제사상에 올렸던 양반의 음식, 안동 건진국수","건진국수는 밀가루에 생콩가루를 섞어 반죽한 것을 얇고 가늘게 썰어 삶아낸 다음 찬물에 헹구어 그릇에 담아 닭 육수를 붓고 가늘게 찢어 놓은 닭살, 채 썰어서 볶아 놓은 애호박과 석이, 계란지단을 고명으로 얹어낸 경상북도 안동시의 향토음식이다.",향토음식의 유래와 역사,,https://ncms.nculture.org/food/story/1758,해당없음,경상북도,안동시,경북 안동시 서동문로 203(동부동),골목안손국수,0548578887,경북 안동시 남문로 2,20180806,"건진국수, 안동국시, 건진국시, 국수, 안동시, 경상북도, 향토음식",20220630
342,"귀한 손님 접대와 제사상에 올렸던 양반의 음식, 안동 건진국수","건진국수는 밀가루에 생콩가루를 섞어 반죽한 것을 얇고 가늘게 썰어 삶아낸 다음 찬물에 헹구어 그릇에 담아 닭 육수를 붓고 가늘게 찢어 놓은 닭살, 채 썰어서 볶아 놓은 애호박과 석이, 계란지단을 고명으로 얹어낸 경상북도 안동시의 향토음식이다.",향토음식의 유래와 역사,,https://ncms.nculture.org/food/story/1758,해당없음,경상북도,안동시,경북 안동시 서동문로 203(동부동),박재숙농가민박,0548532771,경북 안동시 풍천면 광덕솔밭길 26-3,20180806,"건진국수, 안동국시, 건진국시, 국수, 안동시, 경상북도, 향토음식",20220630
343,"갈비탕과 연포탕의 환상적인 결합, 영암 갈낙탕",갈낙탕은 소갈비의 ‘갈’자와 낙지의 ‘낙’자를 조합한 음식명이다. 갈낙탕은 이름 그대로 영암군에서 사육하는 한우의 소갈비와 영암군 독천리 앞바다에서 잡은 뻘낙지를 한데 끓여낸 전라남도 영암군의 대표적인 향토음식이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/1759,현대-현대(1945.8.15~현재),전라남도,영암군,전라남도 영암군 학산면 독천리,낙지일번지,0614724115,전남 영암군 학산면 독천로 174,20180801,"갈낙탕, 영암군, 전라남도, 향토음식",20220630
344,"갈비탕과 연포탕의 환상적인 결합, 영암 갈낙탕",갈낙탕은 소갈비의 ‘갈’자와 낙지의 ‘낙’자를 조합한 음식명이다. 갈낙탕은 이름 그대로 영암군에서 사육하는 한우의 소갈비와 영암군 독천리 앞바다에서 잡은 뻘낙지를 한데 끓여낸 전라남도 영암군의 대표적인 향토음식이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/1759,현대-현대(1945.8.15~현재),전라남도,영암군,전라남도 영암군 학산면 독천리,독천 갈낙탕,0614726909,전남 영암군 학산면 영산로 12-10,20180801,"갈낙탕, 영암군, 전라남도, 향토음식",20220630
345,"갈비탕과 연포탕의 환상적인 결합, 영암 갈낙탕",갈낙탕은 소갈비의 ‘갈’자와 낙지의 ‘낙’자를 조합한 음식명이다. 갈낙탕은 이름 그대로 영암군에서 사육하는 한우의 소갈비와 영암군 독천리 앞바다에서 잡은 뻘낙지를 한데 끓여낸 전라남도 영암군의 대표적인 향토음식이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/1759,현대-현대(1945.8.15~현재),전라남도,영암군,전라남도 영암군 학산면 독천리,독천식당,050714904222,전남 영암군 학산면 독천로 162-1,20180801,"갈낙탕, 영암군, 전라남도, 향토음식",20220630
346,"갈비탕과 연포탕의 환상적인 결합, 영암 갈낙탕",갈낙탕은 소갈비의 ‘갈’자와 낙지의 ‘낙’자를 조합한 음식명이다. 갈낙탕은 이름 그대로 영암군에서 사육하는 한우의 소갈비와 영암군 독천리 앞바다에서 잡은 뻘낙지를 한데 끓여낸 전라남도 영암군의 대표적인 향토음식이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/1759,현대-현대(1945.8.15~현재),전라남도,영암군,전라남도 영암군 학산면 독천리,수연식당 백반,0614610852,전남 영암군 삼호읍 용당로 84,20180801,"갈낙탕, 영암군, 전라남도, 향토음식",20220630
347,"게장 국물을 넣어 지져먹는 김치, 게국지",게국지는 게나 게장 국물을 넣고 만든 김치를 지져 먹는(끓여 먹는) 음식이라는 뜻을 담고 있는 충청남도의 향토음식이다. 요즘 방송에 소개되는 꽃게와 새우가 들어가 해물탕 형태의 게국지는 본래의 모습과 차이가 크다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/244/85689/92651/c/%EA%B2%8C%EA%B5%AD%EC%A7%80_rev-thumb.jpg,https://ncms.nculture.org/food/story/1760,해당없음,충청남도,서산시,충남 서산시 부춘공원 2로 11,딴뚝통나무집식당,0416731645,충남 태안군 안면읍 조운막터길 23-22,20180514,"게국지, 게국지김치, 향토음식, 서산, 당진, 태안",20220630
348,"게장 국물을 넣어 지져먹는 김치, 게국지",게국지는 게나 게장 국물을 넣고 만든 김치를 지져 먹는(끓여 먹는) 음식이라는 뜻을 담고 있는 충청남도의 향토음식이다. 요즘 방송에 소개되는 꽃게와 새우가 들어가 해물탕 형태의 게국지는 본래의 모습과 차이가 크다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/244/85689/92651/c/%EA%B2%8C%EA%B5%AD%EC%A7%80_rev-thumb.jpg,https://ncms.nculture.org/food/story/1760,해당없음,충청남도,서산시,충남 서산시 부춘공원 2로 11,별미진미,0319031360,경기 고양시 일산동구 강촌로26번길 7-13 1층,20180514,"게국지, 게국지김치, 향토음식, 서산, 당진, 태안",20220630
349,"게장 국물을 넣어 지져먹는 김치, 게국지",게국지는 게나 게장 국물을 넣고 만든 김치를 지져 먹는(끓여 먹는) 음식이라는 뜻을 담고 있는 충청남도의 향토음식이다. 요즘 방송에 소개되는 꽃게와 새우가 들어가 해물탕 형태의 게국지는 본래의 모습과 차이가 크다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/244/85689/92651/c/%EA%B2%8C%EA%B5%AD%EC%A7%80_rev-thumb.jpg,https://ncms.nculture.org/food/story/1760,해당없음,충청남도,서산시,충남 서산시 부춘공원 2로 11,서산진국지,027351496,서울 종로구 사직로 137-11,20180514,"게국지, 게국지김치, 향토음식, 서산, 당진, 태안",20220630
350,"게장 국물을 넣어 지져먹는 김치, 게국지",게국지는 게나 게장 국물을 넣고 만든 김치를 지져 먹는(끓여 먹는) 음식이라는 뜻을 담고 있는 충청남도의 향토음식이다. 요즘 방송에 소개되는 꽃게와 새우가 들어가 해물탕 형태의 게국지는 본래의 모습과 차이가 크다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/244/85689/92651/c/%EA%B2%8C%EA%B5%AD%EC%A7%80_rev-thumb.jpg,https://ncms.nculture.org/food/story/1760,해당없음,충청남도,서산시,충남 서산시 부춘공원 2로 11,일품간장게장,050714092299,서울 은평구 진흥로 125,20180514,"게국지, 게국지김치, 향토음식, 서산, 당진, 태안",20220630
351,전통 5일장의 맛이 스며있는 백암순대,"백암순대는 잘 다진 두부, 호박, 숙주, 부추, 콩나물 등의 재료를 선지와 섞어 갖은 양념을 한 다음 돼지창자 속에 집어 넣고 찐 음식이다. 일반 순대와는 달리 풍성하게 들어간 채소로 인하여 돼지 내장의 잡맛이 적고 담백한 맛이 특징이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/124/28979/11444/c/28979-thumb.jpg,https://ncms.nculture.org/food/story/1761,현대-현대(1945.8.15~현재),경기도,용인시,경기도 용인시 처인구 백암면,백암본가순대,0313349425,경기 용인시 처인구 백암면 백암로201번길 3 대동건재철물,20180514,"향토음식, 용인, 백암장, 백암순대, 순대국",20220630
352,전통 5일장의 맛이 스며있는 백암순대,"백암순대는 잘 다진 두부, 호박, 숙주, 부추, 콩나물 등의 재료를 선지와 섞어 갖은 양념을 한 다음 돼지창자 속에 집어 넣고 찐 음식이다. 일반 순대와는 달리 풍성하게 들어간 채소로 인하여 돼지 내장의 잡맛이 적고 담백한 맛이 특징이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/124/28979/11444/c/28979-thumb.jpg,https://ncms.nculture.org/food/story/1761,현대-현대(1945.8.15~현재),경기도,용인시,경기도 용인시 처인구 백암면,백암식당,0313225432,경기 용인시 처인구 백암면 근창로 17-8 백암순대,20180514,"향토음식, 용인, 백암장, 백암순대, 순대국",20220630
353,전통 5일장의 맛이 스며있는 백암순대,"백암순대는 잘 다진 두부, 호박, 숙주, 부추, 콩나물 등의 재료를 선지와 섞어 갖은 양념을 한 다음 돼지창자 속에 집어 넣고 찐 음식이다. 일반 순대와는 달리 풍성하게 들어간 채소로 인하여 돼지 내장의 잡맛이 적고 담백한 맛이 특징이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/124/28979/11444/c/28979-thumb.jpg,https://ncms.nculture.org/food/story/1761,현대-현대(1945.8.15~현재),경기도,용인시,경기도 용인시 처인구 백암면,제일식당,0313324608,경기 용인시 처인구 백암면 백암로201번길 11,20180514,"향토음식, 용인, 백암장, 백암순대, 순대국",20220630
354,전통 5일장의 맛이 스며있는 백암순대,"백암순대는 잘 다진 두부, 호박, 숙주, 부추, 콩나물 등의 재료를 선지와 섞어 갖은 양념을 한 다음 돼지창자 속에 집어 넣고 찐 음식이다. 일반 순대와는 달리 풍성하게 들어간 채소로 인하여 돼지 내장의 잡맛이 적고 담백한 맛이 특징이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/124/28979/11444/c/28979-thumb.jpg,https://ncms.nculture.org/food/story/1761,현대-현대(1945.8.15~현재),경기도,용인시,경기도 용인시 처인구 백암면,중앙식당,0313337750,"경기 용인시 처인구 백암면 근창로 13 ,",20180514,"향토음식, 용인, 백암장, 백암순대, 순대국",20220630
355,청정 갯벌 순천만에서 맛볼 수 있는 순천 짱뚱어탕,"짱뚱어탕은 청정 갯벌인 순천만에서 잡은 짱뚱어에 시래기와 애호박, 대파 등을 넣고 끓인 전라남도 순천시의 향토음식이다. 짱뚱어는 탕 이외에도 구이나 전골 등의 다양한 음식으로 조리되는데, 비린내가 적고 맛이 고소하고 담백한 데다가 영양가도 많아 인기가 높다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/18/85713/92783/c/%EC%88%9C%EC%B2%9C%EB%A7%8C-%281%29_rev-thumb.jpg,https://ncms.nculture.org/food/story/1762,해당없음,전라남도,순천시,전남 순천시 장명로 58(장천동),남도사또밥상,0617552928,전남 순천시 낙안면 삼일로 69,20180801,"짱뚱어탕, 순천만, 향토음식, 전라남도, 순천시",20220630
356,청정 갯벌 순천만에서 맛볼 수 있는 순천 짱뚱어탕,"짱뚱어탕은 청정 갯벌인 순천만에서 잡은 짱뚱어에 시래기와 애호박, 대파 등을 넣고 끓인 전라남도 순천시의 향토음식이다. 짱뚱어는 탕 이외에도 구이나 전골 등의 다양한 음식으로 조리되는데, 비린내가 적고 맛이 고소하고 담백한 데다가 영양가도 많아 인기가 높다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/18/85713/92783/c/%EC%88%9C%EC%B2%9C%EB%A7%8C-%281%29_rev-thumb.jpg,https://ncms.nculture.org/food/story/1762,해당없음,전라남도,순천시,전남 순천시 장명로 58(장천동),순천만 꼬막정식,0617461900,전남 순천시 순천만길 21,20180801,"짱뚱어탕, 순천만, 향토음식, 전라남도, 순천시",20220630
357,청정 갯벌 순천만에서 맛볼 수 있는 순천 짱뚱어탕,"짱뚱어탕은 청정 갯벌인 순천만에서 잡은 짱뚱어에 시래기와 애호박, 대파 등을 넣고 끓인 전라남도 순천시의 향토음식이다. 짱뚱어는 탕 이외에도 구이나 전골 등의 다양한 음식으로 조리되는데, 비린내가 적고 맛이 고소하고 담백한 데다가 영양가도 많아 인기가 높다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/18/85713/92783/c/%EC%88%9C%EC%B2%9C%EB%A7%8C-%281%29_rev-thumb.jpg,https://ncms.nculture.org/food/story/1762,해당없음,전라남도,순천시,전남 순천시 장명로 58(장천동),해월식당,0617414116,전남 순천시 팔마로 132-1,20180801,"짱뚱어탕, 순천만, 향토음식, 전라남도, 순천시",20220630
358,"산에는 산삼(山蔘), 식탁에는 섭산삼(攝山蔘)",섭산삼은 껍질을 벗긴 더덕을 얇게 썰고 두드려서 찹쌀가루를 묻힌 다음 기름에 튀겨낸 경상북도 영양군의 향토음식이다. 또한 영양군 원리리에 재령이씨 가문 석계종택의 내림 음식으로도 유명하다.,향토음식의 유래와 역사,https://minio.nculture.org/amsweb-opt/multimedia_assets/222/26120/7644/c/26120-thumb.jpg,https://ncms.nculture.org/food/story/1763,조선-조선 전체,경상북도,영양군,경상북도 영양군 석보면 원리리 308,,,,20180328,"섭산삼, 더덕, 산삼, 음식디미방, 향토음식",20220630
359,어린아이의 이유식이나 보양식으로 좋은 타락죽,타락은 몽골어에서 유래되었으며 조선시대에 우유를 일컬었던 말이다. 타락죽은 물에 불린 쌀을 갈아 끓이다가 우유를 넣어서 쑨 죽이다. 우유죽이라고도 한다. 본래 타락죽은 조선시대에는 국왕과 왕실사람들이나 먹을 수 있는 귀한 궁중음식이었다. 그만큼 영양가가 높고 흡수 및 소화가 잘 돼 지금은 어린 아이의 이유식이나 보양식으로도 좋은 음식이다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/187/25834/10727/c/25834-thumb.jpg,https://ncms.nculture.org/food/story/1764,해당없음,서울특별시,종로구,서울특별시 종로구 중학동 24,,,,20180830,"타락죽, 궁중음식, 우유죽, 보양식, 이유식, 우유",20220630
360,섭산삼과 맨드라미꽃물 들인 잡채에 담긴 400년 역사,"경상북도 영양군 두들 마을은 재령 이씨의 집성촌으로 이곳에는 1600년대에 만들어진 한글 음식 조리서 '음식디미방'이 전해 내려온다고 한다. 음식디미방에는 음식 조리법뿐만 아니라 저장, 발표식품, 식품보관법 등이 상세히 적혀있어 음식을 조리하고 나누려는 마음도 전해진다. 그중에서도 섭산삼과 잡채에 대한 일화는 광해군 일기에도 나올 정도로 맛이 좋다고 전해진다.",우리 음식의 맛과 이야기,https://minio.nculture.org/amsweb-opt/multimedia_assets/222/26129/7653/c/26129-thumb.jpg,https://ncms.nculture.org/food/story/1765,해당없음,경상북도,영양군,경북 영양군 영양읍 군민회관길 7,,,,20181106,"섭산삼, 석계종가, 맨드라미, 석류탕, 어만두, 잡채, 도토리죽, 이시명, 장계향",20220630
361,"세계적인 팝스타 마이클 잭슨을 단번에 사로잡은 맛, 전주비빔밥","전주비빔밥은 소머리를 고아낸 육수로 지은 밥에 고사리를 비롯하여 당근, 더덕, 도라지, 무, 밤, 불고기, 시금치, 오이, 은행, 콩나물, 표고버섯, 호박, 황백지단, 황포묵 등을 다섯 가지 색깔별로 고명을 만들어 얹은 다음 그 위에 소고기 육회와 계란 노른자를 올려 고추장에 비벼먹는 전라북도 전주시의 향토음식이다. 1990년대 말부터 해외에 명성이 알려지기 시작한 이후 2000년대 들어서는 명실상부하게 한국을 대표하는 세계적인 전통음식으로 자리매김 하였다.",향토음식의 유래와 역사,,https://ncms.nculture.org/food/story/1766,조선-조선 후기(1593~1863),전라북도,전주시,전북 전주시 덕진구 팔달로 340-30,한국관 본점,0632729229,전북 전주시 덕진구 기린대로 425,20180906,"전주, 비빔밥, 전주비빔밥, 골동반, 향토음식",20220630
362,"세계적인 팝스타 마이클 잭슨을 단번에 사로잡은 맛, 전주비빔밥","전주비빔밥은 소머리를 고아낸 육수로 지은 밥에 고사리를 비롯하여 당근, 더덕, 도라지, 무, 밤, 불고기, 시금치, 오이, 은행, 콩나물, 표고버섯, 호박, 황백지단, 황포묵 등을 다섯 가지 색깔별로 고명을 만들어 얹은 다음 그 위에 소고기 육회와 계란 노른자를 올려 고추장에 비벼먹는 전라북도 전주시의 향토음식이다. 1990년대 말부터 해외에 명성이 알려지기 시작한 이후 2000년대 들어서는 명실상부하게 한국을 대표하는 세계적인 전통음식으로 자리매김 하였다.",향토음식의 유래와 역사,,https://ncms.nculture.org/food/story/1766,조선-조선 후기(1593~1863),전라북도,전주시,전북 전주시 덕진구 팔달로 340-30,고궁 전주본점,0632513211,전북 전주시 덕진구 송천중앙로 33,20180906,"전주, 비빔밥, 전주비빔밥, 골동반, 향토음식",20220630
363,"세계적인 팝스타 마이클 잭슨을 단번에 사로잡은 맛, 전주비빔밥","전주비빔밥은 소머리를 고아낸 육수로 지은 밥에 고사리를 비롯하여 당근, 더덕, 도라지, 무, 밤, 불고기, 시금치, 오이, 은행, 콩나물, 표고버섯, 호박, 황백지단, 황포묵 등을 다섯 가지 색깔별로 고명을 만들어 얹은 다음 그 위에 소고기 육회와 계란 노른자를 올려 고추장에 비벼먹는 전라북도 전주시의 향토음식이다. 1990년대 말부터 해외에 명성이 알려지기 시작한 이후 2000년대 들어서는 명실상부하게 한국을 대표하는 세계적인 전통음식으로 자리매김 하였다.",향토음식의 유래와 역사,,https://ncms.nculture.org/food/story/1766,조선-조선 후기(1593~1863),전라북도,전주시,전북 전주시 덕진구 팔달로 340-30,콩사랑콩나물국밥전주비빔밥,0632911818,전북 전주시 덕진구 조경단로 89,20180906,"전주, 비빔밥, 전주비빔밥, 골동반, 향토음식",20220630
364,"용과 봉황의 기운으로 더위를 물리친다, 광산 용봉탕",용봉탕은 상상의 동물인 용(龍)을 상징하는 자라와 봉황(鳳凰)을 상징하는 닭을 재료로 하여 끓여낸 여름철 보양식으로 광주광역시 광산구의 향토 음식이다. 용봉탕은 이름 자체만으로 길하고 복된 음식이며 궁중음식에서 유래되었다.,특별한 날에 먹는 전통음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/207/29211/9015/c/29211-thumb.jpg,https://ncms.nculture.org/food/story/1767,시대미상,광주광역시,광산구,광주 광산구 상무대로 265,,,,20180529,"용봉탕, 자라탕, 보양식, 광주광역시, 광산구, 황룡강, 향토음식",20220630
365,떡갈비의 변신은 무죄? 송정 떡갈비,"떡갈비는 왕실 사람들이 섭취하기 편하게 소고기를 잘게 다져서 양념하여 구워 먹는 궁중음식이었다. 전라도 지방에는 610여 년 전 담양에 유배된 사대부가 떡갈비를 전하였고, 경기 지방에는 1910년을 전후하여 궁궐에서 방출된 나인들이 떡갈비를 전하였다. 송정 떡갈비는 1950년대에 궁중 떡갈비를 서민의 음식으로 발전시킨 광주광역시 광산구의 향토음식이다.",향토음식의 유래와 역사,https://minio.nculture.org/amsweb-opt/multimedia_assets/156/25653/11880/c/25653-thumb.jpg,https://ncms.nculture.org/food/story/1768,현대-현대(1945.8.15~현재),광주광역시,광산구,광주광역시 광산구 송정2동 830-6,송정떡갈비 1호점,0629441439,광주 광산구 광산로29번길 1,20180328,"떡갈비, 송정, 송정역, 광주광역시, 광주, 향토음식",20220630
366,떡갈비의 변신은 무죄? 송정 떡갈비,"떡갈비는 왕실 사람들이 섭취하기 편하게 소고기를 잘게 다져서 양념하여 구워 먹는 궁중음식이었다. 전라도 지방에는 610여 년 전 담양에 유배된 사대부가 떡갈비를 전하였고, 경기 지방에는 1910년을 전후하여 궁궐에서 방출된 나인들이 떡갈비를 전하였다. 송정 떡갈비는 1950년대에 궁중 떡갈비를 서민의 음식으로 발전시킨 광주광역시 광산구의 향토음식이다.",향토음식의 유래와 역사,https://minio.nculture.org/amsweb-opt/multimedia_assets/156/25653/11880/c/25653-thumb.jpg,https://ncms.nculture.org/food/story/1768,현대-현대(1945.8.15~현재),광주광역시,광산구,광주광역시 광산구 송정2동 830-6,형제송정떡갈비,0629440595,광주 광산구 광산로29번길 3,20180328,"떡갈비, 송정, 송정역, 광주광역시, 광주, 향토음식",20220630
367,떡갈비의 변신은 무죄? 송정 떡갈비,"떡갈비는 왕실 사람들이 섭취하기 편하게 소고기를 잘게 다져서 양념하여 구워 먹는 궁중음식이었다. 전라도 지방에는 610여 년 전 담양에 유배된 사대부가 떡갈비를 전하였고, 경기 지방에는 1910년을 전후하여 궁궐에서 방출된 나인들이 떡갈비를 전하였다. 송정 떡갈비는 1950년대에 궁중 떡갈비를 서민의 음식으로 발전시킨 광주광역시 광산구의 향토음식이다.",향토음식의 유래와 역사,https://minio.nculture.org/amsweb-opt/multimedia_assets/156/25653/11880/c/25653-thumb.jpg,https://ncms.nculture.org/food/story/1768,현대-현대(1945.8.15~현재),광주광역시,광산구,광주광역시 광산구 송정2동 830-6,새송정떡갈비,0629413353,광주 광산구 광산로 31,20180328,"떡갈비, 송정, 송정역, 광주광역시, 광주, 향토음식",20220630
368,떡갈비의 변신은 무죄? 송정 떡갈비,"떡갈비는 왕실 사람들이 섭취하기 편하게 소고기를 잘게 다져서 양념하여 구워 먹는 궁중음식이었다. 전라도 지방에는 610여 년 전 담양에 유배된 사대부가 떡갈비를 전하였고, 경기 지방에는 1910년을 전후하여 궁궐에서 방출된 나인들이 떡갈비를 전하였다. 송정 떡갈비는 1950년대에 궁중 떡갈비를 서민의 음식으로 발전시킨 광주광역시 광산구의 향토음식이다.",향토음식의 유래와 역사,https://minio.nculture.org/amsweb-opt/multimedia_assets/156/25653/11880/c/25653-thumb.jpg,https://ncms.nculture.org/food/story/1768,현대-현대(1945.8.15~현재),광주광역시,광산구,광주광역시 광산구 송정2동 830-6,이조송정떡갈비,0629449592,광주 광산구 광산로19번길 30,20180328,"떡갈비, 송정, 송정역, 광주광역시, 광주, 향토음식",20220630
