DATA_MANAGE_NO,DATA_TITLE_NM,SUMRY_CN,SBJT_NM,MAIN_THUMB_URL,CNTNTS_URL,CTPRVN_NM,SIGNGU_NM,ADDR,FSTVL_PROGRM_NM,FSTVL_PROGRM_DC,REGIST_DE,CORE_KWRD_CN,OPN_DE
87,바다로! 포구로! 소래로! 소래포구축제,"소래포구축제는 인근의 소래습지생태공원과 연계하여2001년부터 개최하였다.인천광역시 소래포구는 예전부터 김장철이 되면 새우젓을 값싸게 구입할 수 있어 인천뿐 아니라 수도권에서도 즐겨찾는 재래 어시장이자 관광명소이다.소래포구축제는 수도권에서는 유일하게 재래어항을 가지고 있는 특장점을 바탕으로 기획되었으며 '바다로, 포구로, 소래로'라는 슬로건을 내세운다. 소래포구의 멋진 노을, 풍부한 수산물 먹거리, 다양한 콘텐츠가 어우러진 인천광역시의 대표적인 축제이다.",지역명소축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/139/30193/17089/c/085_-2019-제-19회소래포구축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/400,인천광역시,남동구,인천 남동구 논현동 111-200,꽃게잡기 체험,소래포구축제의 대표적인 체험행사로 에어풀 수조에서 낚시도구로 꽃게를 잡는다. 체험을 통해 직접 잡은 꽃게를 즉석에서 요리해 먹을 수 있다.,20191021,"소래포구, 소래염전, 풍어제, 협궤열차, 남동염전, 소래철교",20220330
88,전세계 거리극들 다 모여라! 과천축제,"과천축제는 1997년 세계마당극 큰잔치로 시작하여 2012년에 과천축제로 이름을 변경하고 지금까지 매년 9월에 개최되고 있는 축제이다. 과천축제는 아시아 최초의 거리예술 축제이며 공연예술축제이다. 거리가 무대인 국내외 마당극, 거리극, 야외극을 중심으로 공식 선정작품과 자유참가작품을 받아 공연하고 있다. 한때 과천축제가 시민들을 위한 축제라기보단 작품을 공연하는 행사라는 비판이 제기되었고 이를 겸허히 받아들여 시민들을 위한 공연예술제로 거듭나기 위해 노력한 끝에 성공적인 시민축제로 안착했다.",이색축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/218/30272/17382/c/169_-2019-과천한마당축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/411,경기도,과천시,경기 과천시 통영로 5,꽃과 여인 / Woman with Flower,창작중심 단디가 외벽에서 펼치는 명화같은 공중극 공연. 피카소의 작품과 그가 가진 예술성을 중심 주제로 한다. (2020),20191021,"거리예술, 공연문화예술, 전통연희",20220330
89,진상품 바치던 나루터에서 열리는 '여주오곡나루축제',여주오곡나루축제는 조선시대 임금님께 진상품을 바치던 조포나루터에서 즐기는 추억여행이다. ‘여주쌀·고구마축제’를 2013년에 여주오곡나루축제로 개칭하였다. 여주오곡나루축제에서는 대형 가마솥 12개에서 지은 햅쌀밥으로 만든 비빔밥을 다함께 나눠 먹고 소금과 숯가루를 한지에 싸서 불을 붙이는 은하수 낙화놀이가 유명하다. 이 모두를 주민들이 기획하고 진행하는 여주오곡나루축제는 농업관광형 축제일 뿐만 아니라 실질적으로 농업인들의 소득증대에 기여하고 있다.,지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/68/30122/16056/c/021_2019-여주오곡나루축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/235,경기도,여주시,경기도 여주시 천송동 296-1,나루마당극(오곡들소리),모내기부터 추수하는 과정까지를 인간의 생로병사에 비유하여 연출한 마당극이다. 여주오곡나루마당을 형상화한 거리에서 진행된다.,20191018,"여주, 오곡, 나루, 축제, 특산물, 진상품, 고구마",20220330
90,"남다른 노력의 나비효과, 함평나비대축제","1999년 제1회를 시작으로 매년4월말~ 5월 초 전라남도 함평에서 열리는 나비축제이다.기본적인 산업자원,관광자원,특산품,먹거리가 거의 없는 악조건 속에서도 계획적으로 곤충연구소를 세우고 준비하여 ‘나비’를 주제로 기획한 축제는 큰 성공을 거두었다. 매년 대표나비를 설정하여 단일한 주제인 나비 하나로도 연속성을 가지고 변화 발전해 갔다. 축제 하나로 지역경제 활성화와 군민소득 증대가 이루어졌고, 국비지원 없이도 흑자를 내는 축제로 자리매김했다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/134/30188/17055/c/080_-2019-함평나비축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/408,전라남도,함평군,전남 함평군 함평읍 수호리 1153-1,나비날리기,아이들이 살아있는 나비를 직접 날려볼 수 있는 나비축제의 대표 행사 중 하나로 축제 기간동안 매일 진행된다.,20191021,"나비, 친환경, 생태도시",20220330
91,"남다른 노력의 나비효과, 함평나비대축제","1999년 제1회를 시작으로 매년4월말~ 5월 초 전라남도 함평에서 열리는 나비축제이다.기본적인 산업자원,관광자원,특산품,먹거리가 거의 없는 악조건 속에서도 계획적으로 곤충연구소를 세우고 준비하여 ‘나비’를 주제로 기획한 축제는 큰 성공을 거두었다. 매년 대표나비를 설정하여 단일한 주제인 나비 하나로도 연속성을 가지고 변화 발전해 갔다. 축제 하나로 지역경제 활성화와 군민소득 증대가 이루어졌고, 국비지원 없이도 흑자를 내는 축제로 자리매김했다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/134/30188/17055/c/080_-2019-함평나비축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/408,전라남도,함평군,전남 함평군 함평읍 수호리 1153-1,나비ㆍ곤충 생태관,"각종 나비와 곤충들을 물론 나비 애벌레 또한 직접 만져보고 체험할 수 있으며, 나비ㆍ곤충과 어울리는 생태 환경 또한 조경되어 있다.",20191021,"나비, 친환경, 생태도시",20220330
92,정조대왕 능행차를 시연하는 '수원화성문화제',수원화성문화제는 유네스코가 지정한 세계문화유산의 하나인 수원화성에서 개최되는 종합축제 성격의 향토문화제이다. 수원화성은 정조대왕이 그의 부친인 사도세자의 능을 수원 화산의 현륭원으로 옮긴 이후 축조한 성곽이다. 정조대왕의 지극했던 효심을 기리는 뜻도 담겨 있다. 수원화성문화제의 대표 행사는 ‘정조대왕 능행차 시연’으로 수 천명이 참가하여 장관을 이룬다.,전통·역사 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/17/72604/66135/c/JKH_0011-thumb.jpg,https://ncms.nculture.org/local-festival/story/344,경기도,수원시,경기도 수원시 팔달구 남창동 6-2,낙성연,"수원화성 준공을 기념하기 위해 벌여졌던 낙성연을 재현한 것이다. 궁중연희를 재현하고 헌선도, 무고를 선보이며 다양한 궁중연희를 직접 눈으로 볼 수 있다.",20191021,"수원, 화성, 축제, 정조대왕, 유네스코세계문화유산, 효심",20220330
93,낙안읍성에서 열리는 낙안민속문화축제,"낙안민속문화축제는 전라남도 순천시 낙안면에 있는 낙안읍성에서 1994년부터 개최되어온 민속문화축제이다. 낙안읍성은 경주 양동마을, 안동 하회마을처럼 주민들이 거주하고 있는 정주형 마을이며, 성곽과 조선시대 민속 경관이 고스란이 남아 있다. 매년 10월 열리는 낙안민속문화축제에선 백중놀이, 기마장군 순라의식, 낙안읍성 성곽 쌓기 재현, 전통 향토음식 페스티벌 등의 다양한 체험 프로그램이 진행된다.",전통·역사 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/229/30283/18377/c/181_-2019-낙안민속문화축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/444,전라남도,순천시,전남 순천시 낙안면 동내리 281-2,낙안백중놀이,농부들이 일손을 놓고 즐기며 화합하는 놀이를 재현한 행사이다.,20191021,"낙안읍성, 임경업, 민속놀이, 김빈길",20220330
94,낙안읍성에서 열리는 낙안민속문화축제,"낙안민속문화축제는 전라남도 순천시 낙안면에 있는 낙안읍성에서 1994년부터 개최되어온 민속문화축제이다. 낙안읍성은 경주 양동마을, 안동 하회마을처럼 주민들이 거주하고 있는 정주형 마을이며, 성곽과 조선시대 민속 경관이 고스란이 남아 있다. 매년 10월 열리는 낙안민속문화축제에선 백중놀이, 기마장군 순라의식, 낙안읍성 성곽 쌓기 재현, 전통 향토음식 페스티벌 등의 다양한 체험 프로그램이 진행된다.",전통·역사 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/229/30283/18377/c/181_-2019-낙안민속문화축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/444,전라남도,순천시,전남 순천시 낙안면 동내리 281-2,낙안읍성 수문 교대식,"전통 복장을 한 수문군 등 38명이 참가하여 근무군과 교대군이 마주 보고 도열한 뒤, 군호응대, 부신합부, 열쇠함과 순장패 인계인수, 수문과 교대군의 근무교대를 하는 교대식을 진행한다.",20191021,"낙안읍성, 임경업, 민속놀이, 김빈길",20220330
95,낙안읍성에서 열리는 낙안민속문화축제,"낙안민속문화축제는 전라남도 순천시 낙안면에 있는 낙안읍성에서 1994년부터 개최되어온 민속문화축제이다. 낙안읍성은 경주 양동마을, 안동 하회마을처럼 주민들이 거주하고 있는 정주형 마을이며, 성곽과 조선시대 민속 경관이 고스란이 남아 있다. 매년 10월 열리는 낙안민속문화축제에선 백중놀이, 기마장군 순라의식, 낙안읍성 성곽 쌓기 재현, 전통 향토음식 페스티벌 등의 다양한 체험 프로그램이 진행된다.",전통·역사 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/229/30283/18377/c/181_-2019-낙안민속문화축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/444,전라남도,순천시,전남 순천시 낙안면 동내리 281-2,낙안큰줄다리기,매해 정월대보름날에 마을주민들이 모여 했던 큰줄다리기를 재현한 행사이다.,20191021,"낙안읍성, 임경업, 민속놀이, 김빈길",20220330
96,박연을 기리는 영동난계국악축제,"대한민국의 3대 악성(樂聖)을 왕산악(고구려), 우륵(신라), 박연(조선)이라고 한다. 영동지역에서 펼쳐지는 국악축제인 ‘영동난계국악축제’는 3대 악성 가운데 박연을 기리는 전국유일의 국악축제다. 난계는 박연의 아호다. 1965년 시작할 때의 이름은 난계예술제로, 경연대회 정도의 성격이었다가 1975년 전국적인 축제로 발전한다. 난계국악축제라는 명칭으로의 변화는 1998년부터이다.",춤·음악 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/215/30268/17183/c/166_-2019-영동난계국악축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/401,충청북도,영동군,충청북도 영동군 영동읍 중앙로 11,난계국악단 공연,난계 국악단은 지난 1991년에 난계박연선생을 기리고 국악의 고장인 영동을 널리 알리기 위해 창단했다. 난꼐국악단의 상설 공연이 축제 기간동안 난계국악체험촌에서 진행된다.,20191021,"박연, 난계사, 국악",20220330
97,전통과 현대가 어우러진 마포나루새우젓축제,"마포나루새우젓축제는 옛 마포나루 일원이었던 월드컵공원에서2008년10월에 처음 개최되었다. 마포나루는 조선시대 말까지 전국의 배들이 새우젓을 싣고 드나들며 거래하던 곳이었다. 전국 산지에서 올라온 질좋은 새우젓을 판매해 김장철을 준비하는 주부들에게 호응이 높았고, 농어촌의 소득 증대에도 일조 했다. 난지연못에 황포돛배와 유등을 띄우고, 초가집 모양의 부스를 설치하는 등 전통문화와 현대문화가 잘 어우러진 연출, 우마차 타기, 새우젓 만들기, 승경도 놀이 등의 다양한 콘텐츠가 관광객들의 기대를 충족시켜준다. 여러 지자체에서 벤치마킹한 축제이다.",지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/88/29767/14295/c/서울새우젓축제2019-10-18-19.55.42-thumb.jpg,https://ncms.nculture.org/local-festival/story/417,서울특별시,마포구,서울 마포구 월드컵로 243-48,난지연못 LED 유등전시,난지 연못을 둘러싼 가을 풍경과 더불어 LED 유등전시를 만나볼 수 있다.,20191021,"마포나루, 황토돗배",20220330
98,서귀포 105개 마을이 함께 행진하는 서귀포칠십리축제,"서귀포칠십리는 조선시대 정의현 관청 관문에서 서귀포 서귀진 관문까지의 거리가 70여 리가 되어 붙여진 이름이다. 서귀포 시민들이 1995년부터 서귀포칠십리축제를 시작했고, 2006년 제주특별자치도가 되면서 남제주 군민들도 함께 참여하게 되었다. 서귀포칠십리축제의 중심은 칠십리 대행진이다. 설화·민속·문화를 재현하며 서귀포 105개 마을의 주민들이 행진하는 프로그램이다. 이 축제는 매년 9월~10월에 개최된다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/137/30191/17087/c/083_2019-서귀포칠십리축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/399,제주특별자치도,서귀포시,제주특별자치도 서귀포시 천지동 530-10,남극노인성제 봉행,축제의 사전 행사로 조선 시대부터 행해진 노인성제를 재현한다. 무병장수를 상징하는 별인 남극노인성께 국가의 만사형통과 무병장수를 기원한다.,20191021,"서귀포칠십리, 정의현, 칠십리 대행진",20220330
99,무형문화재 3호 남사당놀이를 만난다 '안성맞춤 남사당 바우덕이축제',"안성맞춤 남사당 바우덕이 축제는 남사당의 전통문화와 19세기 말 남사당패의 여자 꼭두쇠인 바우덕이의 예술정신을 계승하고 발전시키고자 2001년부터 시작되었다. 안성은 남사당의 발상지이자 총본산이다. 남사당패의 여섯가지 놀이는 중요무형문화재 3호로 지정되어 있다. 축제에서는 남사당공연을 비롯한 창작극, 인형극, 관현악단, 해외 민속극까지 다양한 공연을 만날 수 있다.",지역인물축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/63/30117/16044/c/017_2019-안성맞춤-남사당-바우덕이축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/234,경기도,안성시,경기도 안성시 보개면 복평리 303-3,남사당의 여섯 놀이,"풍물, 버나(대접돌리기), 살판(땅재주), 줄타기, 탈놀음(덧뵈기), 꼭두각시놀음(박첨지놀음, 홍동지놀음) 순서로 진행되는 남사당의 공연이며 축제의 핵심이다.",20191018,"안성, 남사당, 바우덕이, 축제, 꼭두쇠, 추모제, 전통연희",20220330
100,허준의 고장 지리산 산청에서 열리는 '산청한방약초축제',"청정 지리산 기슭에 자리잡은 산청군은 약초의 본고장이며, 명의 허준이 활동했던 곳이다. 지리산의 장소성과 역사성을 활용하여 기획한 것이 산청한방약초축제이다. 2001년 5월에 처음 개최된 산청한방약초축제는 10월로 시기를 옮겼고, 2019년 문화체육관광부 선정 대표축제로 지정되었다. 동의보감관, 산청한의학박물관, 산청약초관 등의 부대시설이 잘 되어 있고 숙박시설 및 식당이 잘 갖추어져 있는 힐링 축제이다.",지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/109/30163/17030/c/056_2019-산청한방약초축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/337,경상남도,산청군,경남 산청군 금서면 동의보감로555번길 45-6,내몸의 보약체험,"?방약초차를 직접 달여먹어볼 수 있는 '내몸의 보약체험'이 있다. 각종 질환에 따라 치료에 도움이 되는 좋은 음식과 예방법에 대한 강의가 있고, 배운 후 직접 달여먹어보는 순서다.",20191021,"산청, 한방, 동의보감, 축제, 산청혜민서",20220330
101,"포도의 왕, 거봉을 즐기는 ‘입장 거봉포도축제’","충청남도 천안시 입장면은 천안시 북부지역에 위치한 구릉 평야지대의 전형적인 농촌으로 과수농업이 발달했다. 그중 전국에서 거봉을 43% 이상 생산하는 거봉포도 주산지로, 입장 거봉포도의 우수성을 널리 홍보하여 주민들의 소득 증대를 위해 포도작목반, 기관단체, 지역 기업체 등의 후원으로 축제를 연다. 거봉포도의 출하시기인 9월 중순~하순경에 입장초등학교 운동장에서 축제를 연다.",지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/238/30292/18386/c/191_-2019거봉포도축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/120,충청남도,천안시,충남 천안시 서북구 입장면 하장4길 19,노래자랑,"직장인밴드공연, 지역문화예술인 공연, 입장거봉가요제 등 다양한 공연들이 준비되어있어 많은 사람들이 즐길 수 있다.",20191017,"포도, 거봉",20220330
102,"신명나는 장터, 파시를 체험하라 '목포항구축제'","목포는 1897년 개항한 항구도시로, 과거 전국 3대항이자 6대 도시였다. 현재는 서남해안의 배후 중심도시이다. 목포의 근대역사와 해양문화를 보존하고 알리기 위해 열리는 목포항구축제는 파시를 중심으로 승성체험, 선상경매체험, 한선 제작 등을 해볼 수 있다. 전통과 현대가 적절하게 가미된 흥겨운 축제가 만족도를 높인다.",지역명소축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/92/30146/16088/c/040_2019-목포항구축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/255,전라남도,목포시,전라남도 목포시 산정동 1480-2,노적봉함 승선체험,미리 신청을 한 사람들에 한해서 해군의 상륙전력의 화룡정점인 노적봉함 승선 견학을 할 수 있다.,20191018,"목포, 항구, 축제, 해양문화축제, 삼학도, 지역명소",20220330
103,녹차의 수도 전남 보성에서 열리는 '보성다향 대축제',"보성은 우리나라 최대의 차 생산지이자 차 산업의 발상지로, 명실상부한 대한민국 녹차의 수도이다. 이러한 자부심 속에서 1985년 ‘다향제’가 시작되었고, 2009년에 ‘보성다향대축제’로 축제 명칭이 바뀌어 오늘에 이르렀다. 보성다향대축제에서는 풍다를 기원하는 다신제와 관광객이 직접 찻잎을 딸 수 있는 체험 등 다양한 프로그램이 진행된다.",지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/206/30260/17175/c/156_제-44회-보성다향대축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/298,전라남도,보성군,전라남도 보성군 보성읍 봉산리 1193,녹차스탬프투어,관광객 이동 동선에 맞게끔 스탬프 투어가 실시된다. 자신에게 맞는 건강관리방법을 추천받을 수 있으며 투어 완료시 기념품도 증정된다.,20191021,"보성, 녹차, 축제, 다신제, 차예절, 음식축제",20220330
104,젓갈시장에서 열리는 '논산강경젓갈축제',"논산강경젓갈축제는 IMF가 한창이던 1997년 지역경제 활성화와 상인들의 소득증대를 위해 강경 젓갈상인들이 뜻을 모아 시작한 것이다. 강경의 역사적 배경을 무대로 한 논산강경젓갈축제는 젓갈체험과 특별행사, 부대행사 등이 어우러져 강경이라는 지역과 강경젓갈의 우수성을 널리 홍보하는 논산을 대표하는 지역 축제로 자리매김하고 있다.",지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/81/30135/16073/c/031_2019-논산강경젓갈축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/248,충청남도,논산시,충청남도 논산시 강경읍 황산리 198,논산강경젓갈축제공연,"농악 경연대회, 주민발표회, 전국어린이동요제 등 다양한 공연들이 어우러져 남녀노소 모두 즐길 수 있는 시간이다.",20191018,"논산, 강경, 젓갈, 축제, 먹거리, 특산물, 체험학습",20220330
105,알콩 볼콩 달콩 놀콩 '파주장단콩축제',"파주장단콩축제는 지역특산물인 파주장단콩을 홍보하고 소비를 촉진하기 위한 특산물축제이다. 장단콩은 임금님 수라상에 올랐던 명품 웰빙 식품이다. 파주장단콩 축제 프로그램은 ‘알콩?볼콩?달콩?놀콩’으로 구성된다. 알콩은 알리는 공간, 볼콩은 관람행사, 달콩은 음식을 맛볼 수 있는 공간, 놀콩은 다양한 체험 프로그램이다. 파주 장단콩과 파주농특산물을 저렴하게 구입할 수 있고, 놀거리와 먹을거리가 가득한 축제이다.",지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/95/29776/14458/c/파주장단콩축제_20191123_114506-thumb.jpg,https://ncms.nculture.org/local-festival/story/241,경기도,파주시,경기도 파주시 문산읍 사목리 494-1,놀콩,"꼬마메주만들기, 도리깨블록쌓기, 콩타작, 전통혼례, 전통맷돌체험, 전통놀이체험 등 사람들에게 '놀'거리를 제공한다.",20191018,"파주, 장단콩, 추제, 특산물, 웰빙, 비무장지대",20220330
106,"한국에서 가장 큰 소싸움축제, 청도소싸움축제","청도소싸움축제는 경상북도 청도군에서 개최되는 소싸움축제이다. 1990년 민속투우대회로 시작했다가, 1999년부터 명칭을 청도소싸움축제로 바꾸어 매년 4월 개최하고 있다. 전국 싸움소의 절반이 청도에 있다고 할만큼 규모가 크고, 청도소싸움 테마파크도 있다. 소싸움은 농사를 짓기 시작하면서부터 내려온 우리 고유의 민속놀이인데, 일제강점기 때 우리 민족의 단합을 저지하기 위해 강제로 명맥이 끊겼다가 광복 후 부활하였다. 우리나라 소싸움은 스페인의 투우와 달리 소를 죽이지 않는다.",전통·역사 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/76/30130/16065/c/청도-소싸움(1)_e영상역사관_제4유형-thumb.jpg,https://ncms.nculture.org/local-festival/story/495,경상북도,청도군,경북 청도군 화양읍 남성현로 348,농경문화 체험,"소싸움 경기장 앞에 위치한 소 달구지 타기, 소 여물주기 체험 등을 통해 농경문화를 체험해 볼 수 있다.",20191021,"소, 투우, 싸움소",20220330
107,진천의 우수농산물과 축제한마당이 어우러진 ‘생거진천 문화축제’,"충청북도 진천군 최대의 향토문화축제이자 농·특산물 판매의 장인 경제축제이다. 진천군은 예로부터 넓은 들에 수리시설이 잘 갖추어져 있어 농사기술이 발달하고 농산물이 풍부하여 살기에 좋다하여 생거진천(生居鎭川)이라 불렸다. 문화축전으로 1979년에 시작되었으나, 1999년에 생거진천 화랑제로, 2008년에 생거진천 문화축제로 명칭을 개칭하며 지역 우수 농산물과 문화, 예술이 어우러져 멋과 풍요가 함께 하는 축제로 내실을 더하고 있다.",지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/192/30246/17159/c/137_-2019-생거진천-문화축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/96,충청북도,진천군,충북 진천군 진천읍 읍내리 165,농특산물 전시판매장,진천의 우수한 친환경 농특산물 전시 및 판매를 진행하고 있다. 최근 코로나19로 인해 온라인으로 축제가 열리자 축제측은 포털 사이트의 쇼핑라이브를 통해 진천의 농특산물을 판매하기도 했다.,20191017,"민속경기, 군민걷기대회, 향토먹거리장터",20220330
108,"민간 주도의 축제, 화순운주문화축제","화순운주문화축제는 1996년 ‘화순 운주 대축제’라는 명칭으로 시작되었다. 전라남도 화순군에 있는 운주사는 송광사 소속의 사찰로 창건설화에 의하면 도선국사가 풍수지리설에 따라 국운이 일본으로 흘러가는 것을 막고 나라의 기틀을 공고히 하고자 하룻밤에 천불천탑을 만들었다고 한다. 화순운주문화축제의 시작은 화순 운주사의 천불 천탑의 이루지 못한 꿈을 재현하는 것이었다. 초기에는 화순군청이 주관하였으나, 2003년부터는 화순군 도암면 주민 중심의 민간 주도로 바뀌었다.",이색축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/171/30225/17138/c/116_-2019-화순운주문화축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/808,전라남도,화순군,전라남도 화순군 도암면 천태로 91-44,농특산물 전시판매장,축제기간 동안 향토음식과 농ㆍ특산물 판매장이 운영된다.,20191202,"운주사, 불교축제, 민간",20220330
109,"대관령에서 만나는 눈과 얼음의 낭만, 대관령눈꽃축제","대관령눈꽃축제는 눈을 소재로한 겨울축제로 강원도 대관령 눈꽃마을에서 1993년 처음 시작되었다. 매년 1월 대관령 고원에서 펼쳐지는 대관령눈꽃축제는 눈꽃과 얼음을 활용하여 낭만적이고 환상적인 세계를 연출한다. 거기에 대관령 만의 겨울생활문화를 소개하고 있다. 우리나라 최초의 겨울축제이며, 자연환경을 활용한 겨울축제로서 많은 이들의 사랑을 받고 있다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/156/30210/17123/c/098_-2019-대관령눈꽃축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/415,강원도,평창군,강원 평창군 대관령면 횡계리 329-6,눈마을 미니게임,"대관령 눈마을 주민과 함께 딱지치기, 종이딱지, 뽑기놀이 구슬치기 등 추억의 미니게임을 함께하는 행사이다.",20191021,"대관령, 눈꽃, 눈마을, 겨울축제",20220330
110,한국의 대표적인 겨울축제 '얼음나라화천산천어축제',"산천어는 냉수성 토종 민물고기로 1급수의 맑은 계곡에서만 서식한다. 얼음나라화천산천어축제의 백미는 산천어 낚시이다. 한겨울 매서운 추위로 30cm이상 꽁꽁 언 화천천 위에서 얼음구멍을 뚫고 1급수에서만 서식하는 산천어를 낚는 것이 얼음낚시이다. 산천어 낚시는 1일 최대 8,000명을 동시에 수용할 수 있는 ‘산천어 얼음낚시’, 1일 최대 1,000명을 동시에 수용할 수 있는 ‘외국인 얼음낚시’, 1일 최대 2,000명을 동시에 수용할 수 있는 ‘산천어 밤낚시(야간)’가 있다. 세계 4대 겨울축제로 발돋움하며 외국인 관광객의 비율이 높아졌고, 눈썰매장, 산타우체국 등 가족들이 즐길거리도 많다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/75/30128/16067/c/027_2020-얼음나라-화천산천어축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/310,강원도,화천군,강원 화천군 화천읍 아리 204-1,눈얼음체험,"얼곰이성, 눈썰매장, 콩닥콩닥 봅슬레이, 하늘가르기 등 다양한 빙판스포츠와 활동을 체험해볼 수 있다.",20191021,"얼음, 화천, 산천어, 축제, 화천천",20220330
111,인천에서 열리는 백제문화축제 '연수 능허대문화축제',"능허대는 백제사신이 중국을 오가던 포구에 있던 언덕 이름이다. 능허대는 1990년 11월에 인천광역시기념물 제8호로 지정되었다. 연수 능허대문화축제는 2004년 10월에 시작된 백제문화 기반의 역사문화축제이다. 연수 능허대문화축제는 ‘백제사신퍼레이드, 연수구민의 날 기념식, 능허대 빅콘서트’ 등 다양한 기획전과 공연?전시 및 체험행사로 진행된다.",지역명소축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/196/30250/17165/c/145_-2019-연수-능허대문화축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/204,인천광역시,연수구,인천광역시 연수구 연수동 578,능허대 빅콘서트,"댄스 경연, 의상쇼, 노래 경연, 불꽃놀이 등 능허대문화축제를 대표하는 빅콘서트는 다양한 볼거리를 제공한다.",20191018,"인천, 연수구, 능허대, 축제, 백제사신, 한나루",20220330
113,"밤의 근대를 체험하세요, 정동야행","정동야행은 2015년부터 1년에 봄(5월)과 가을(10월)에 두 번 개최되는 축제이다. 서울특별시 중구 정동은 덕수궁, 정동제일교회, 이화학당, 배재학당, 각국의 외국공관이 자리잡고 있는 근대 역사의 시작점이자 근대문화유산 일번지이다. 평소에는 들어가보기 힘든 근대건축물들을 개방하고, 밤에 구경할 수 있어 '야행'이라는 이름이 붙었다. 이는 문화재청의 지역문화재활용사업의 일환으로 시작되었지만, 정동 일대의 기관과 단체, 외국공관들의 협조로 보기 드물게 성공한 케이스다. 현재는 정동역사재생 지역협의체에서 정동축제위원회를 만들어 운영하고 있다.",이색축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/164/30218/17131/c/108_2019-정동야행-thumb.jpg,https://ncms.nculture.org/local-festival/story/427,서울특별시,중구,서울 중구 정동 11-8,"다같이 돌자, 정동 : 라이브 개막식","다양한 공연을 선보이는 것을 시작으로, 영상을 통해 정동 투어를 다니면서 역사 지식 역시 습득할 수 있는 간접 경험을 제공하는 행사.",20191021,"정동, 대한민국 근현대사, 야경, 덜덜골목",20220330
114,한 가지 소원은 꼭 들어준다는 ‘경산 갓바위 소원성취 축제’,"대구 동구와 경상북도 영천시, 군위군, 칠곡군, 경산시에 걸쳐 있는 산인 팔공산 봉우리 관봉 정상에는 통일신라에 조성된 관봉여래좌상이 있다. 관봉의 우리말이 갓바위로, 흔히 갓바위 부처님이라 불린다. 갓바위 부처님에게 정성껏 빌면 소원 한 가지는 반드시 이뤄진다고 하여 수많은 사람이 기도하러 가는 전국 최고의 기도 도량이다. 경상북도 경산시에서는 갓바위 부처님을 비롯해 주변의 아름다운 자연경관을 널리 알리고자 1998년도에 축제를 개최하였다.",지역명소축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/184/30238/17151/c/129_-2019경산갓바위소원성취축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/113,경상북도,경산시,경북 경산시 와촌면 갓바위로 595,다례봉행,경산의 관봉석조여래좌상은 평생 한 가지 소원은 꼭 이루어준다는 속설이 있다. 축제의 시작을 알리기 위해 부처님에게 다례봉행을 가장 먼저 진행한다.,20191017,"소원성취, 갓바위, 불상, 고려 불상",20220330
